The SAS System                                                                     14:43 Thursday, December 11, 2008   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
         |   0.00 |   0.08 |   0.08
         |   4.13 |  95.87 |
         |   0.00 |   0.87 |
---------+--------+--------+
      25 | 147196 |    534 | 147730
         |   0.10 |   0.00 |   0.10
         |  99.64 |   0.36 |
         |   0.11 |   0.00 |
---------+--------+--------+
      26 |   1550 | 115981 | 117531
         |   0.00 |   0.08 |   0.08
         |   1.32 |  98.68 |
         |   0.00 |   0.92 |
---------+--------+--------+
      27 |  87544 |   1461 |  89005
         |   0.06 |   0.00 |   0.06
         |  98.36 |   1.64 |
         |   0.07 |   0.01 |
---------+--------+--------+
      28 |  69606 |    306 |  69912
         |   0.05 |   0.00 |   0.05
         |  99.56 |   0.44 |
         |   0.05 |   0.00 |
---------+--------+--------+
      29 | 114266 |    425 | 114691
         |   0.08 |   0.00 |   0.08
         |  99.63 |   0.37 |
         |   0.09 |   0.00 |
---------+--------+--------+
      30 |  92570 |   2488 |  95058
         |   0.06 |   0.00 |   0.07
         |  97.38 |   2.62 |
         |   0.07 |   0.02 |
---------+--------+--------+
      31 | 938430 |  74224 |1012654
         |   0.64 |   0.05 |   0.69
         |  92.67 |   7.33 |
         |   0.70 |   0.59 |
---------+--------+--------+
Total     1.335E8  1.265E7  1.461E8
            91.35     8.65   100.00
(Continued)
The SAS System                                                                     14:43 Thursday, December 11, 2008  11

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      32 | 183460 |    469 | 183929
         |   0.13 |   0.00 |   0.13
         |  99.75 |   0.25 |
         |   0.14 |   0.00 |
---------+--------+--------+
      33 | 267118 |   2177 | 269295
         |   0.18 |   0.00 |   0.18
         |  99.19 |   0.81 |
         |   0.20 |   0.02 |
---------+--------+--------+
      34 | 408293 |   1970 | 410263
         |   0.28 |   0.00 |   0.28
         |  99.52 |   0.48 |
         |   0.31 |   0.02 |
---------+--------+--------+
      35 |  75249 | 204924 | 280173
         |   0.05 |   0.14 |   0.19
         |  26.86 |  73.14 |
         |   0.06 |   1.62 |
---------+--------+--------+
      36 | 303269 |   3166 | 306435
         |   0.21 |   0.00 |   0.21
         |  98.97 |   1.03 |
         |   0.23 |   0.03 |
---------+--------+--------+
      37 | 153441 | 106920 | 260361
         |   0.10 |   0.07 |   0.18
         |  58.93 |  41.07 |
         |   0.11 |   0.85 |
---------+--------+--------+
      38 | 297442 | 339977 | 637419
         |   0.20 |   0.23 |   0.44
         |  46.66 |  53.34 |
         |   0.22 |   2.69 |
---------+--------+--------+
Total     1.335E8  1.265E7  1.461E8
            91.35     8.65   100.00
