The SAS System                                                                          17:16 Friday, March 22, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
         |   0.04 |   1.42 |
---------+--------+--------+
      36 |   4567 |    128 |   4695
         |   0.10 |   0.00 |   0.11
         |  97.27 |   2.73 |
         |   0.11 |   0.05 |
---------+--------+--------+
      37 |   4125 |   2108 |   6233
         |   0.09 |   0.05 |   0.14
         |  66.18 |  33.82 |
         |   0.10 |   0.81 |
---------+--------+--------+
      38 |  10684 |   6008 |  16692
         |   0.24 |   0.14 |   0.38
         |  64.01 |  35.99 |
         |   0.26 |   2.30 |
---------+--------+--------+
Total     4103468   261126  4364594
            94.02     5.98   100.00
