The SAS System                                                                       21:11 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
Col Pct  |       0|       1|  Total
---------+--------+--------+
       8 |   3463 | 264099 | 267562
         |   0.00 |   0.18 |   0.19
         |   1.29 |  98.71 |
         |   0.00 |   2.15 |
---------+--------+--------+
       9 | 434957 |    523 | 435480
         |   0.30 |   0.00 |   0.30
         |  99.88 |   0.12 |
         |   0.33 |   0.00 |
---------+--------+--------+
      10 | 245851 |   3447 | 249298
         |   0.17 |   0.00 |   0.17
         |  98.62 |   1.38 |
         |   0.19 |   0.03 |
---------+--------+--------+
      11 | 439888 |   1826 | 441714
         |   0.31 |   0.00 |   0.31
         |  99.59 |   0.41 |
         |   0.34 |   0.01 |
---------+--------+--------+
      12 |   4120 | 231124 | 235244
         |   0.00 |   0.16 |   0.16
         |   1.75 |  98.25 |
         |   0.00 |   1.88 |
---------+--------+--------+
      13 |   2570 | 171152 | 173722
         |   0.00 |   0.12 |   0.12
         |   1.48 |  98.52 |
         |   0.00 |   1.39 |
---------+--------+--------+
      14 | 496071 |   2753 | 498824
         |   0.35 |   0.00 |   0.35
         |  99.45 |   0.55 |
         |   0.38 |   0.02 |
---------+--------+--------+
      15 | 164716 |  11825 | 176541
         |   0.11 |   0.01 |   0.12
         |  93.30 |   6.70 |
         |   0.13 |   0.10 |
---------+--------+--------+
Total     1.311E8  1.231E7  1.434E8
            91.42     8.58   100.00
(Continued)
The SAS System                                                                       21:11 Wednesday, March 27, 2019   9

The FREQ Procedure

Table of ic by hispanic

ic        hispanic

Frequency|
Percent  |
Row Pct  |
Col Pct  |       0|       1|  Total
---------+--------+--------+
      16 | 210488 |    472 | 210960
         |   0.15 |   0.00 |   0.15
         |  99.78 |   0.22 |
         |   0.16 |   0.00 |
---------+--------+--------+
      17 | 194595 |    284 | 194879
         |   0.14 |   0.00 |   0.14
         |  99.85 |   0.15 |
         |   0.15 |   0.00 |
---------+--------+--------+
      18 | 423391 |   1611 | 425002
         |   0.30 |   0.00 |   0.30
         |  99.62 |   0.38 |
         |   0.32 |   0.01 |
---------+--------+--------+
      19 | 312655 |   1709 | 314364
         |   0.22 |   0.00 |   0.22
         |  99.46 |   0.54 |
         |   0.24 |   0.01 |
---------+--------+--------+
